code,number,question;;
2018Z19562,1,'Bent u bekend met de Regeling ammoniak en veehouderij (Rav) die bedoeld is om emissies en depositie van ammoniak te verminderen?';;
2018Z19562,2,'Deelt u de mening dat veehouders, stalbouwers, fabrikanten (van luchtwassers) en ondernemers (uit andere sectoren) met innovatieve ideeën gebruik moeten kunnen maken van de Rav? Zo ja, op welke manier enthousiasmeert u veehouders, stalbouwers, fabrikanten (van luchtwassers) en ondernemers (uit andere sectoren) om te komen met innovatieve ideeën die de ammoniakemissie kan reduceren?';;
2018Z19562,3,'Kunt u aan de hand van een voorbeeldcasus van een ondernemer (een ondernemer, innovatief, niet werkzaam in de veehouderij heeft een briljant idee waarbij de ammoniakreductie uit stallen fors gereduceerd kan worden) de procedure doorlopen welke stappen deze ondernemer moet zetten, welke informatie deze ondernemer moet aanleveren, hoe lang het duurt voordat een ondernemer duidelijkheid heeft, welke tijd hiermee gemoeid is en alle andere relevante handelingen? Zo nee, waarom niet?';;
2018Z19562,4,'Kunt u aangeven of en op welke manier er samenwerking is met andere landen bij het opnemen van goede concepten op de Rav-lijst die emissies en depositie verminderen?';;
2018Z19562,5,'Kunt u aangeven of er een versnelde procedure is voor ondernemers die test- en praktijkervaring hebben in landen om ons heen? Zo nee, waarom niet? Deelt u de mening dat alle goede ideeën met goede resultaten in de praktijk zo snel mogelijk ingezet moeten kunnen worden om het doel van de Regeling - het verminderen van emissies en depositie - in de praktijk toe te kunnen passen? Zo nee, waarom niet?';;
2018Z19562,6,'Wat kunt u doen om de constatering, dat ondernemers ervaren dat de procedure tot opname op de Rav-lijst bureaucratisch is, om te buigen naar een werkwijze die ondernemers stimuleert om met goede ideeën te komen?';;
2018Z19562,7,'Klopt het dat de Rav-lijst uitgaat van alleen concepten en systemen? Zo ja, waarom is hiervoor gekozen?';;
2018Z19562,9,'Deelt u de mening dat juist innovatieve ideeën voldoende kans moeten krijgen en gestimuleerd zouden moeten worden om de reductie van ammoniakemissie (en of andere stoffen) terug te dringen? Zo ja, hoe gaat u ervoor zorgen dat de geschetste belemmeringen opgeheven worden?';;
2018Z19562,10,'Kunt u aangeven hoe de Technische Advies Pool (TAP) tot stand is gekomen? Welke functies zijn in deze TAP belegd? Welke expertise is in deze TAP belegd? Hoe worden mensen benaderd die in deze TAP zitting hebben?';;
2018Z19562,11,'Kunt u aangeven welke stappen u inmiddels gezet heeft waar de motie-Lodders over belemmeringen in het testen van stalconcepten (Kamerstuk 28973, nr. 202) om gevraagd heeft?';;
2018Z19562,12,'Bent u bereid deze vragen één voor één te beantwoorden?';;
2018Z19096,1,'Kent u het bericht ‘Spoor in plaats van vliegen kansloze missie’?';;
2018Z19096,2,'Kent u de studies van CE Delft (‘Committed to the Environment’) en Vrije Universiteit (VU) 2010/2014 over de externe kosten voor infrastructuur van verkeer, overheidskosten van mobiliteit, waarbij de kosten van infrastructuur, externe kosten, externe voordelen en subsidies/belastingen per modaliteit op een rij zijn gezet?';;
2018Z19096,3,'Hoeveel geld geeft de Nederlandse overheid jaarlijks uit aan: a) spoor, investeringen, onderhoud en andere aan spoor gerelateerde zaken (inclusief  en gespecificeerd naar investeringen in harde infrastructuur, beheer en onderhoud, subsidies, steun aan de vervoersbedrijven en railbeheer, ontwikkeling van treinen, stations en andere relevante subsidies, etc.); b) investeringen in wegen en zaken gerelateerd aan automobiliteit (inclusief en gespecificeerd naar investeringen in harde infrastructuur, beheer en onderhoud, subsidies, steun aan de auto-industrie, rustplaatsen, faciliteiten, verkeersveiligheid en alle andere relevante zaken);" c) investeringen in de luchtvaart (inclusief en gespecificeerd naar investeringen in harde infrastructuur, beheer en onderhoud, subsidies, steun aan de luchtvaartindustrie, luchthavens, faciliteiten en alle andere relevante zaken)?'"""
2018Z19096,4,'Hoeveel inkomsten (waaronder heffingen, accijnzen, belastingen, tol, aankoopbelasting, vergoedingen, uitkeringen etc.) gerelateerd aan de infrastructuur voor als het gaat om investeringen en/of gebruik/eigendom voor verplaatsingen per trein, auto (inclusief inkomsten over busvervoer en logistiek) en vliegtuig heeft de overheid jaarlijks?';;
2018Z19096,5,'Hoeveel mensen verplaatsen zich dagelijks per spoor, auto of vliegtuig?';;
2018Z19096,6,'Zijn de kosten per modaliteit per reizigerskilometer inzichtelijk te maken, bijvoorbeeld als het gaat om verplaatsingen per trein, bus, tram, metro, auto, fiets, motor, brommer etc.? Is dat te berekenen? Kunt u de kosten en opbrengsten per modaliteit meenemen in de uitwerking van het Infrastructuurfonds /Mobiliteitsfonds?';;
2018Z19096,7,'Deelt u de mening dat er gekeken moet worden naar alle kosten en opbrengsten als het gaat om keuzes in modaliteiten? Kunt u verklaren waarom dat in de huidige systematiek niet zo is?';;
2018Z19096,8,'Is het waar dat de luchtvaart grotendeels haar eigen infrastructuur financiert? In hoeverre financieren de spoorwegen hun eigen infrastructuur?';;
2018Z21416,1,'Kunt u een actualisatie geven van de antwoorden die gegeven zijn op 30 augustus 2017 op de Kamervragen over de onbewaakte spoorwegovergang in Santpoort-Zuid?';;
2018Z21416,2,'Klopt het dat de beoogde weg er nu feitelijk niet is en ook niet in gebruik is genomen begin 2018 zoals toen geantwoord is? Zo ja, kunt u de achtergronden van deze vertraging schetsen? Kunt u aangeven wanneer de beoogde weg er wél zal zijn?';;
2018Z21416,3,'Klopt het dat vergunning is verleend voor de parallelweg, maar dat feitelijke aanleg achterwege blijft? Zo ja, kunt u de achtergronden van deze vertraging schetsen?';;
2018Z21416,4,'Deelt u de conclusie dat het een druk spoor betreft (het betreft een dubbel spoor traject Haarlem-Uitgeest, waaronder ook Tata-steel, intercity’s, sprinters (4 treinen per uur), vrachttreinen (veel en op verschillende tijdstippen) en lege treinen (ochtend) om elders te starten en losse locomotieven)?';;
